Tag 	 Attr
PREPREOCESS DIRECTIVE	#
ID	include
LT	<
ID	stdio
ID	h
GT	>
TYPEDEF	typedef
STRUCT	struct
DOUBLE	double
ID	x
DELIMITER	;
DOUBLE	double
ID	y
DELIMITER	;
ID	Dot
DELIMITER	;
VOID	void
ID	printHelloWorld
ID	printf
STR	"HelloWorld"
DELIMITER	;
RETURN	return
DELIMITER	;
INT	int
MAIN	main
INT	int
ID	a
ASSIGN	=
NUM	2
DELIMITER	;
DOUBLE	double
ID	b
ASSIGN	=
NUM	3.55
DELIMITER	;
CHAR	char
ID	c
ASSIGN	=
SINGLE CHAR	'2'
DELIMITER	;
CONST	const
CHAR	char
MULTIPLY	*
ID	d
ASSIGN	=
STR	"Compile"
DELIMITER	;
SWITCH	switch
ID	a
CASE	case
NUM	1
ID	a
ASSIGN	=
ID	a
PLUS	+
NUM	1
DELIMITER	;
BREAK	break
DELIMITER	;
CASE	case
NUM	2
DELIMITER	;
BREAK	break
DELIMITER	;
WHILE	while
ID	a
GTE	>=
NUM	2
ID	a
ASSIGN	=
ID	a
MINUS	-
NUM	1
DELIMITER	;
IF	if
ID	a
GT	>
NUM	2
ID	printf
STR	"a>2"
DELIMITER	;
ELSE	else
IF	if
ID	a
GTE	>=
NUM	1
ID	printf
STR	"a>=1"
DELIMITER	;
ELSE	else
ID	print
STR	"OtherCases"
DELIMITER	;
RETURN	return
NUM	0
DELIMITER	;
